datetime,ES,cash,commission,total,returns,equity_curve,drawdown
1999-01-04,0,100646.29999999997,11.700000000000001,100646.29999999997,0.0,1.0064629999999994,0.0
1999-01-05,0,100646.29999999997,11.700000000000001,100646.29999999997,0.0,1.0064629999999994,0.0
1999-01-06,0,100646.29999999997,11.700000000000001,100646.29999999997,0.0,1.0064629999999994,0.0
1999-01-07,0,100660.99999999997,13.000000000000002,100660.99999999997,0.00014605603981454607,1.0066099999999993,0.0
1999-01-08,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-11,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-12,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-13,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-14,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-15,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-19,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-20,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-21,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-22,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-25,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-26,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-27,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-28,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-01-29,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-02-01,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-02-02,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-02-03,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-02-04,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-02-05,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-02-08,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-02-09,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-02-10,0,100660.99999999997,13.000000000000002,100660.99999999997,0.0,1.0066099999999993,0.0
1999-02-11,0,100723.69999999997,14.300000000000002,100723.69999999997,0.0006228827450551755,1.0072369999999993,0.0
1999-02-12,0,100694.39999999997,15.600000000000003,100694.39999999997,-0.00029089479437316434,1.0069439999999992,0.00029300000000009874
1999-02-16,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-02-17,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-02-18,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-02-19,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-02-22,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-02-23,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-02-24,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-02-25,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-02-26,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-01,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-02,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-03,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-04,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-05,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-08,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-09,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-10,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-11,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-12,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-15,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-16,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-17,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-18,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-19,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-22,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-23,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-24,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-25,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-26,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-29,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-30,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-03-31,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-01,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-02,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-05,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-06,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-07,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-08,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-09,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-12,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-13,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-14,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-15,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-16,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-19,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-20,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-21,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-22,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-23,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-26,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-27,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-28,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-29,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-04-30,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-03,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-04,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-05,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-06,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-07,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-10,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-11,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-12,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-13,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-14,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-17,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-18,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-19,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-20,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-21,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-24,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-25,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-26,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-27,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-28,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-05-31,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-01,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-02,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-03,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-04,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-07,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-08,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-09,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-10,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-11,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-14,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-15,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-16,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-17,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-18,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-21,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-22,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-23,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-24,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-25,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-28,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-29,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-06-30,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-01,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-02,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-06,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-07,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-08,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-09,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-12,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-13,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-14,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-15,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-16,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-19,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-20,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-21,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-22,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-23,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-26,0,100694.39999999997,15.600000000000003,100694.39999999997,0.0,1.0069439999999992,0.00029300000000009874
1999-07-27,0,100713.09999999996,16.900000000000002,100713.09999999996,0.0001857104267963816,1.0071309999999993,0.00010599999999993948
1999-07-28,0,100713.09999999996,16.900000000000002,100713.09999999996,0.0,1.0071309999999993,0.00010599999999993948
1999-07-29,0,100713.09999999996,16.900000000000002,100713.09999999996,0.0,1.0071309999999993,0.00010599999999993948
1999-07-30,0,100713.09999999996,16.900000000000002,100713.09999999996,0.0,1.0071309999999993,0.00010599999999993948
1999-08-02,0,100713.09999999996,16.900000000000002,100713.09999999996,0.0,1.0071309999999993,0.00010599999999993948
1999-08-03,0,100713.09999999996,16.900000000000002,100713.09999999996,0.0,1.0071309999999993,0.00010599999999993948
1999-08-04,0,100643.79999999996,18.200000000000003,100643.79999999996,-0.000688093207338536,1.0064379999999993,0.0007989999999999942
1999-08-05,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-06,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-09,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-10,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-11,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-12,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-13,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-16,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-17,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-18,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-19,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-20,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-23,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-24,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-25,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-26,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-27,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-30,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-08-31,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-01,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-02,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-03,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-06,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-07,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-08,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-09,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-10,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-13,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-14,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-15,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-16,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-17,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-20,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-21,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-22,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-23,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-24,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-27,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-28,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-29,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-09-30,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-10-01,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-10-04,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-10-05,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-10-06,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-10-07,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-10-08,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
1999-10-11,0,100643.79999999996,18.200000000000003,100643.79999999996,0.0,1.0064379999999993,0.0007989999999999942
